ID	Gene Name	Species
ENSG00000152234	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle(ATP5A1)	Homo sapiens	
ENSG00000001631	KRIT1, ankyrin repeat containing(KRIT1)	Homo sapiens	
ENSG00000130203	apolipoprotein E(APOE)	Homo sapiens	
ENSG00000152661	gap junction protein alpha 1(GJA1)	Homo sapiens	
ENSG00000102760	regulator of cell cycle(RGCC)	Homo sapiens	
ENSG00000113140	secreted protein acidic and cysteine rich(SPARC)	Homo sapiens	
ENSG00000171951	secretogranin II(SCG2)	Homo sapiens	
ENSG00000115415	signal transducer and activator of transcription 1(STAT1)	Homo sapiens	
ENSG00000137573	sulfatase 1(SULF1)	Homo sapiens	
ENSG00000137801	thrombospondin 1(THBS1)	Homo sapiens	
